UNITID,Year,INSTNM,State,Total_Students,Known_Students,Unknown_Students,In_State_Students,Out_State_Students,Foreign_Students,US_Students,Avg_Cost,Median_HH_Income
136172,2016,University of North Florida,FL,1978,1972,6,1860,72,40,1932,19469,62628.24
142285,2016,University of Idaho,ID,1660,1631,29,1193,398,40,1591,21525,54125.14
217484,2016,University of Rhode Island,RI,3256,3254,2,1417,1798,39,3215,30339,72503.8
132471,2016,Barry University,FL,480,475,5,229,208,38,437,47118,58621.88
209922,2016,Reed College,OR,354,354,0,22,294,38,316,75586,71777.6
220862,2016,University of Memphis,TN,2743,2743,0,2297,408,38,2705,24139,58823.6
154527,2016,Wartburg College,IA,445,445,0,271,137,37,408,55508,58222.9
163976,2016,St. John's College,MD,127,127,0,19,71,37,90,50001,72041.37
227845,2016,Saint Edward's University,TX,864,854,10,669,148,37,817,61707,71197.81
171571,2016,Oakland University,MI,2595,2595,0,2510,48,37,2558,23778,78696.54
141574,2016,University of Hawaii at Manoa,HI,1972,1969,3,1313,620,36,1933,23405,71646.27
169798,2016,Eastern Michigan University,MI,2801,2800,1,2350,414,36,2764,24994,69989
198516,2016,Elon University,NC,1553,1531,22,245,1250,36,1495,52587,81102.4
118541,2016,Marymount California University,CA,219,219,0,158,25,36,183,51791,73970.25
114354,2016,FIDM-Fashion Institute of Design & Merchandising-Los Angeles,CA,398,398,0,188,174,36,362,51281,73476
229063,2016,Texas Southern University,TX,1260,1260,0,1053,172,35,1225,23173,53781.71
181002,2016,Creighton University,NE,1033,1033,0,180,818,35,998,56120,68443.5
224147,2016,Texas A & M University-Corpus Christi,TX,2410,2410,0,2333,42,35,2375,22459,54287.8
117140,2016,University of La Verne,CA,557,556,1,497,24,35,521,60759,67082.29
230816,2016,Bennington College,VT,218,214,4,9,170,35,179,75972,77879.63
219000,2016,Augustana University,SD,424,424,0,180,210,34,390,47710,60196.68
209807,2016,Portland State University,OR,1691,1674,17,1102,538,34,1640,20571,62889.32
133650,2016,Florida Agricultural and Mechanical University,FL,1328,1324,4,1030,260,34,1290,23312,52786.24
198695,2016,High Point University,NC,1382,1375,7,285,1056,34,1341,54296,63207.13
213358,2016,La Roche College,PA,265,265,0,192,39,34,231,43073,61014.96
212106,2016,Duquesne University,PA,1556,1555,1,1057,465,33,1522,56199,61274.66
209056,2016,Lewis & Clark College,OR,506,505,1,56,417,32,473,68735,69786.29
482158,2016,Middle Georgia State University,GA,1327,1325,2,1185,108,32,1293,15822,64276.692131199976
142115,2016,Boise State University,ID,2628,2627,1,1484,1112,31,2596,21621,58298.66
130183,2016,Post University,CT,1433,1365,68,267,1067,31,1334,30161,67090.63
229267,2016,Trinity University,TX,662,662,0,500,131,31,631,60664,78650.29
203845,2016,Marietta College,OH,245,245,0,139,75,31,214,49601,58715.65
207582,2016,Oral Roberts University,OK,486,478,8,179,268,31,447,44006,63453.08
377555,2016,University of Washington-Bothell Campus,WA,820,818,2,771,17,30,788,23189,69752.4
150163,2016,Butler University,IN,1256,1245,11,522,693,30,1215,61623,71968.39
206622,2016,Xavier University,OH,1115,1115,0,472,614,29,1086,58260,68472.8
138600,2016,Agnes Scott College,GA,272,271,1,121,121,29,242,55403,69580.95
134237,2016,Full Sail University,FL,3601,3601,0,1228,2344,29,3572,35865,66113.73
107044,2016,Harding University,AR,1019,1019,0,287,703,29,990,31647,61757.88
128771,2016,Central Connecticut State University,CT,1269,1269,0,1143,98,28,1241,22518,75579.11
236595,2016,Seattle University,WA,985,974,11,301,645,28,946,63439,70785.55
141644,2016,Hawaii Pacific University,HI,462,458,4,127,303,28,430,47698,72804.49
174914,2016,University of St Thomas,MN,1349,1349,0,1002,319,28,1321,57785,76939.14
229160,2016,Texas Wesleyan University,TX,301,301,0,254,19,28,273,47135,62890.39
130226,2016,Quinnipiac University,CT,1910,1910,0,494,1388,28,1882,66237,87986.1
213251,2016,Juniata College,PA,394,394,0,230,136,28,366,61807,62290.9
107141,2016,John Brown University,AR,323,323,0,119,177,27,296,40774,56884.69
239318,2016,Milwaukee School of Engineering,WI,551,551,0,326,198,27,524,53885,68757.09
138293,2016,Webber International University,FL,178,177,1,135,15,27,150,42702,55372.47
226833,2016,Midwestern State University,TX,740,740,0,690,24,26,714,19972,57712.44
120883,2016,University of the Pacific,CA,726,714,12,633,55,26,688,64784,72621.06
157289,2016,University of Louisville,KY,2883,2882,1,2357,499,26,2856,28247,59042.66
240480,2016,University of Wisconsin-Stevens Point,WI,1591,1591,0,1382,183,26,1565,18217,62211.59
173300,2016,Concordia College at Moorhead,MN,545,541,4,363,152,26,515,53819,60523.09
129242,2016,Fairfield University,CT,1056,1056,0,281,750,25,1031,67080,93458.99
213996,2016,Messiah College,PA,685,682,3,425,232,25,657,49864,71914.01
237066,2016,Whitworth University,WA,595,595,0,360,210,25,570,60359,63739.65
156082,2016,Washburn University,KS,908,900,8,777,98,25,875,20011,57541.98
214175,2016,Muhlenberg College,PA,593,593,0,132,437,24,569,69413,89504.61
228149,2016,St. Mary's University,TX,587,586,1,512,50,24,562,42354,56236.53
122506,2016,San Francisco Conservatory of Music,CA,54,53,1,11,18,24,29,69135,74879.37
151777,2016,Manchester University,IN,389,389,0,325,40,24,365,45489,60877.57
117627,2016,La Sierra University,CA,327,326,1,272,30,24,302,45629,63313.83
170082,2016,Grand Valley State University,MI,4306,4306,0,3944,338,24,4282,24280,67198.25
217402,2016,Providence College,RI,1058,1058,0,90,944,24,1034,69407,83293.65
152530,2016,Taylor University,IN,472,472,0,184,264,24,448,48656,68822.46
182290,2016,University of Nevada-Reno,NV,3550,3541,9,2477,1040,24,3517,23256,68050.29
168740,2016,Andrews University,MI,304,304,0,73,208,23,281,40948,63096.48
414823,2016,Johnson & Wales University-North Miami,FL,472,472,0,230,219,23,449,37686.031269160027,68856.12
110617,2016,California State University-Sacramento,CA,3760,3760,0,3693,44,23,3737,21576,65686.13
204468,2016,Notre Dame College,OH,286,286,0,206,57,23,263,43425,60228.48
461795,2016,North American University,TX,95,95,0,60,12,23,72,20685,64276.692131199976
199698,2016,St Andrews University,NC,224,224,0,118,83,23,201,44686,64861.88
134079,2016,Florida Southern College,FL,648,648,0,393,232,23,625,52794,60789.21
240189,2016,University of Wisconsin-Whitewater,WI,2220,2220,0,1813,385,22,2198,18252,67955.05
221838,2016,Tennessee State University,TN,1307,1288,19,712,554,22,1266,22509,53809.87
225627,2016,University of the Incarnate Word,TX,788,788,0,737,29,22,766,45532,59715.43
218645,2016,University of South Carolina-Aiken,SC,623,619,4,529,68,22,597,20735,53123.12
169248,2016,Central Michigan University,MI,3519,3519,0,3206,291,22,3497,25078,66048.2
169716,2016,University of Detroit Mercy,MI,532,532,0,474,36,22,510,38440,64142.33
